STATION,INITIAL,FINAL,TOT.OBS,OBSERVER
406,1908,1910,943,"GUERRIERI, CAPODIMONTE"
407,1909,1925,1586,"BRAAK, BATAVIA"
408,1909,1913,260,"STEFKO, LEYSIN"
409,1910,1914,654,"SCHWARZ, KREMSMUNSTER"
410,1910,1916,297,"LISSAK, CHARLOTTENBURG"
411,1911,1913,771,"KAVAN, PRAGUE"
412,1911,1925,4744,"MOYE, MONTPELLIER"
413,1913,1914,143,"MILORADOWITSCH, PULKOWO"
414,1914,1925,1898,"BUTTLAR, SIMSDORF"
415,1915,1915,225,"SCHMID, ST. GALLEN"
416,1915,1918,815,"HEIMEN, FELDE"
417,1916,1918,411,"BUGOSLAWSKY, MOSCOW"
418,1917,1985,10890,"MT. WILSON, CENTER OF DISK"
419,1917,1917,33,"REED, KENNEBUNK, MAINE"
420,1917,1917,181,"TASS, OGYALLA"
421,1918,1918,198,"VOSS, ALTONA"
422,1918,1918,112,"MALSCH, KARLSRUHE"
423,1918,1918,35,"SEIDEL, RHEINLAND"
424,1918,1918,28,"WEGNER, DANZIG"
425,1918,1918,103,"KLANNICK, GOTHA"
426,1920,1921,455,BATAVIA
427,1923,1958,11666,"MT. WILSON, FULL DISK"
428,1926,1944,4901,"BRUNNER, ZURICH"
429,1928,1937,2722,"BUSER, AROSA"
430,1928,1929,450,"N.A.O., JAPAN, K=0.85"
431,1929,1944,3262,"BRUNNER, W., ZURICH"
432,1930,1930,244,"N.A.O., JAPAN, K=0.75"
433,1931,1934,920,"N.A.O., JAPAN, K=0.65"
434,1935,1948,1293,"N.A.O., JAPAN, K=0.70"
435,1935,1986,11931,"MADRID OBSERVATORY, MADRID"
436,1936,1947,1615,"WALDMEIER, ZURICH"
437,1936,1936,207,"N.A.O., JAPAN, K=0.55"
438,1936,1954,3357,"PROTITCH, M., BELGRADE"
439,1937,1944,2059,"N.A.O., JAPAN, K=0.60"
440,1941,1944,1298,"RAPP, LOCARNO-MONTI"
441,1920,1956,5734,"VALENCIA OBS., VALENCIA"
442,1942,1944,308,"WALDMEIER, AROSA"
443,1946,1946,159,"DJURKOVIC, P.M., BELGRADE"
444,1947,1949,331,"OSKANJAN, V., BELGRADE"
445,1947,1996,9848,"KOYAMA, H., TOKYO"
446,1948,1956,3211,U.S. NAVAL OBSERVATORY
447,1949,1993,12243,"NATIONAL ASTRON. OBS., JAPAN"
448,1949,1950,158,"SIMIC, M., BELGRADE"
449,1949,1954,691,"DIZER, M., KANDILLI OBS."
450,1949,1950,191,"KORT, W., ST. MARIABURG"
451,1952,1965,1274,"SAN MIGUEL OBS., ARGENTINA"
452,1955,1968,1931,"OZGUC, A., KANDILLI OBS."
453,1956,1975,6532,"LEE OBSERVATORY, BIERUT"
454,1958,1989,7104,ROME OBSERVATORY
455,1962,1991,8606,MT. WILSON NETWORK
456,1964,1993,5765,TAIPEI
457,1967,1992,5120,"LUNPING OBSERVATORY, TAIWAN"
458,1974,1975,455,"DOGAN, N., ANKARA"
459,1977,1995,6922,SPACE ENVIRONMENT LABORATORY
460,1977,1977,365,DEBRECHEN HELIOPHYSICAL OBS.
461,1978,1987,3288,CATANIA OBSERVATORY
462,1981,1991,3572,AIR FORCE NETWORK
463,1992,1995,1002,BRITISH ASTRON. ASSOC.
464,1924,1988,10717,"LUFT, H."
465,1858,1893,8285,"WOLF, R., ZURICH (SMALL TELESCOPE)"
466,1749,1799,1172,"STAUDACH, J.C., NUREMBERG (LEIF RECOUNT)"
467,NaN,NaN,0,"SCHWABE, H., DESSAU-ARLT"
468,1612,1612,35,"GALILEO, G., ROME, (LEIF RECOUNT)"
469,1612,1612,9,"GALILEO, G., ROME, (WOLFER COUNT)"
470,1983,1994,2713,"N.O.A.A., U.S.A."
471,1985,1987,94,"ALBATTANI, IRAQ"
472,1992,2003,1220,"ASTR. CENTRE ARDENNE, BELGIUM"
473,2003,2010,1187,"ANDRIES SON, BELGIUM"
474,1994,1995,170,"ANTARES, ITALY"
475,1988,1988,16,"HUBER ALFREDO, ARGENTINA"
476,1985,1988,967,"AGUILAR, VALENCIA, SPAIN"
477,1981,1988,1244,"AHNERT, GERMANY"
478,2009,2010,221,"ANDREW JOHNSTON, AUSTRALIA"
479,1985,1990,1177,ALCOBER VALENCIA SPAIN
480,1981,1998,6175,AMERICAIN
481,1977,1990,2898,"ANKARA, TURKEY"
482,1995,1995,116,"MONTI LATTARI, ITALY"
483,1989,2010,3984,"PHILIPPE WITTELSHEIM, FRANCE"
484,1984,1994,1362,"AGR. ASTR. BUENOS AIRES, ARGENTINA"
485,1989,1989,8,"SCHROYENS, BELGIUM"
486,1967,1982,2386,"ATHENES EUGENIDES, GREECE"
487,1988,2007,5717,"AUSTRALIAN OBS. COONABARABRAN, AUSTRALIA"
488,1987,1993,563,"G.O.A.S., ARGENTINA"
489,1992,2010,4463,"OBSERV. PAUL AHNERT, COTTBUS, GERMANY"
490,1991,1993,225,"DONOSTIA, SPAIN"
491,1981,1998,4247,"ATHENES NAT. OBSER. (1) 127, GREECE"
492,1981,1999,4391,"ATHENES NAT. OBSER. (2) 109, GREECE"
493,1949,1995,7611,"ATHENES III, ELIAS, GREECE"
494,1986,2010,5971,"A4 SANVITO 32404, ITALY"
495,1983,1985,333,"BALSEIRO, URUGUAY"
496,1993,1995,158,"BAITCHEVA JAMBOL, BULGARIA"
497,1994,1994,90,"BRESCIA, ITALY"
498,1986,1986,13,"BIESADA, POLAND"
499,1995,2005,1107,"OBS.JORDANO DIMITROVGRAD, BULGARIA"
500,1982,2010,5225,"BULLON, VALENCIA, SPAIN"
501,1997,2009,3695,"BORTOLOTTI MAURO, ITALIA"
502,2008,2010,466,"BOSCAT MICHAEL, CA"
503,1978,1998,4487,"BRUNS ISERNHAGEN, B.D.R."
504,1986,1986,228,"BASRAH, IRAQ"
505,2008,2010,625,"BROXTON TONY, U.K."
506,1981,1998,3828,"BUCHAREST, ROMANIA"
507,2009,2010,294,"BOB VANSLOOTEN, NETHERLANDS"
508,2008,2010,344,"BOWYER ARTHUR, U.K."
509,1981,1998,4532,"BEYAZIT OBSER., TURKEY"
510,1950,2010,14686,"CATANIA 2, ITALY"
511,1988,2010,7605,"CAMAGUEY, CUBA"
512,1989,2010,3516,"COURDURIE MARCQ EN BAROEUL, FRANCE"
513,1988,1989,204,"CASTANEDA, VENEZUELA"
514,2006,2006,12,"EDWIN DE CEUNINCK, BELGIUM"
515,1988,2010,5334,"CLAEYS VEDRIN, BELGIUM"
516,1989,1992,206,"SIMFEROPOL, U.R.S.S."
517,2005,2010,1105,"CRIMEAN OBSERVATORY, UKRAINE"
